index,query
0,How is COVID-19 spread in public places?
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?"
2,"How to distinguish between quarantine, isolation, and distancing of oneself?"
3,What age groups are the most at-risk?
4,"What should I do in terms of already scheduled medical appointments for my child, keep them or cancel them?"
5,Is it true that infection is limited to those in the younger and older age groups?
6,What assurances do we have that face coverings keep out the virus?
7,"If I spent time on COVID-19 leave and was paid, will that affect my holiday pay and floating holiday?"
9,What long-term issues do I face if infected with COVID-19?
10,What do they mean when they say pooled testing?
11,"During the COVID-19 pandemic, when would it be safe to resume normal activities when coming back from a country given a travel health notice?"
12,When I am traveling where should I wear a face mask?
13,Is it still a possibility for two people to get married? Are places that have weddings still in business?
14,Mode of submission of details of COVID-19 effects on advancement of NIH-fund grant project activities.
15,What changes in Phase two compared to Phase 1.
16,What do foreign nationals with visas do when they can't leave due to COVID-19?
17,"As a travel nurse, what resources are available regarding New York's response to COVID-19?"
18,"I had depleted my unemployment benefits on the First of July, 2019 and have remained unemployed since that date. What are the eligibility requirements to enroll for PEUC?"
19,What to do when injury is reported.
20,"If you worked more hours before, than you can file for unemployment benefits."
21,Is it possible for pro leagues to place face-to-face again?
22,Is the COVID-19 virus something that I should feel at risk for contracting?
23,How can I organize my business so that it complies with the Heath Office Order that came out on July 2nd?
24,Which factor will you use to decide who is moving to in-store or delivery?
25,Is it possible for human beings to get sick with COVID-19 transmitted to them from animals?
26,Is it possible to get infected by COVID 19 if i touch food surface packaging?
28,Does the use of a cloth face mask have any sort of impact on the practice of corona contact tracing?
29,What regulations do childcare centers have during this pandemic?
30,Is Remdesivir adequately supplied to all states?
31,What research is being done on antibody tests and their accuracy?
32,Is personal protective equipment sufficient to protect others?
33,"After aerosol generating procedures, when respirators are contaminated with blood or other nasal secretions, you should throw it away."
34,What calming methods to you suggest during this difficult time?
35,What is the total number of different kinds of antibodies that exist and what exactly is meant by that?
36,Is it possible to get Covid from an animal?
37,Do you know what serology is?
38,Who is responsible for assessing workplace risks?
39,Are healthcare workers fully protected from COVID-19 by protective equipment?
40,Is there a way to clean the office ventilation efficiently?
41,Possibility of keeping children with COVID-19 at home for treatment
42,Do I need a sewing machine to make a face mask?
43,Try not to worry. and enjoy you're time together.
44,Make sure to think about the information presented to you.
45,Suggestions on how to stay in touch while not risking to get infected?
46,Stress management by interactive website use
47,Tell any concerns your children may have about the virus.
48,Wrap plastic bags around your luggage
49,How can I use soured milk?
50,Make it a point to wash your hands each and every time you touch areas of likely COVID-19 transmission.
51,How do I minimize my expenses during the pandemic?
52,Groups concerned with tenant advocacy usually have emergency cash reserves to help out renters who fall on hard times; reaching out to one can help you cover rent costs until you can find work again.
54,How can I help mitigate the spread of COVID-19?
55,"In the event that you experience any trouble breathing, it's important to reach out for medical attention."
56,New and different symptoms mean that you should get in touch with your physician.
57,"To keep occupied, start a new hobby or learn a skill."
58,How to maintain a social life during coronovirus
59,Fold in the outer layer one quarter inch over the other layer.
60,flexibility aids adaptability in change
61,"When recommended to by official entities or if someone is a high risk individual, they should not interact with crowds of people."
62,Washing of hands before and after device use.
63,Send messages to your superiors to make sure to keep in touch.
64,It's important that anyone who finds themselves becoming sick within a period of 14 days then enters a place of isolation.
66,"For families, it's important to create boundaries and to make sure those boundaries are understood by everyone."
67,Have a conversation about the facts surrounding COVID 19.
68,How do I resolve problems between siblings?
69,"Before your interview time, make sure that your internet is well-connected and that your audio and video are error-free."
70,Providing room service in shifts to others at home
71,"If my circumstances change, will I be able to qualify for more help?"
72,Reusability of masks
73,Don’t trap yourself by looking into the past
74,am i eligible for cash asistance even if i am not documented?
75,what do i need to know when working during covid-19 pendamic?
76,"if you are in the same room with a person who has covid-19, is it possible that you remain healthy?"
77,what can i do to relieve my friends' worries about covid-19?
78,how should i adjust my feeling during pendemic period?
79,how should a law enforcement officer protect themselves
80,"are the moral contemplations the equivalent for every single clinical countermeasure, including therapeutics, immunizations and individual defensive hardware (ppe)?"
81,inquire as to whether you can telecommute if you have chance.
